,Name,Overall teaching rate,Title
0,ACAR UMUT,3.87, Teaching Professor  
1,AGARWAL YUVRAJ,4.29, Research Professor  
2,ALDRICH JONATHAN,4.86," Program Director, Computer Science/Teaching Professor  "
3,ALEVEN VINCENT,4.3149999999999995, Distinguished Career Professor  
4,AMVROSIADIS GEORGIOS,4.3, Assistant Teaching Professor  
5,ANDERSEN DAVID,4.77, Professor Of The Practice  
6,APOSTOLOPOULOS DIMITRIOS,5.0, Project Scientist  
7,ATKESON CHRISTOPHER,4.195, Associate Teaching Professor of Computational Biology  
8,AUDIA ROGER,4.6, Assistant Professor  
9,AYOOB ELLEN,4.0649999999999995, Lane Professor Of Computational Biology  
10,BALCAN MARIA,2.96,Error
11,BALZER STEPHANIE,4.205, Assistant Teaching Professor  
12,BAR-JOSEPH ZIV,3.925, Assistant Teaching Professor  
13,BARD JOSHUA,4.75, Associate Professor  
14,BASS LEN,4.38,Error
15,BASS MATTHEW,2.9433333333333334, Professor  
16,BATAVIA PARAG,4.48, Assistant Professor  
17,BECKMANN NATHAN,4.545,Error
18,BERGER DANIEL,4.734999999999999, Assistant Teaching Professor  
19,BERNTSEN KAREN,4.755, Teaching Professor  
20,BHATIA Jaspreet,4.2, Associate Teaching Professor  
21,BHUPATIRAJU VENKATA,1.0, Associate Teaching Professor of Computer Science  
22,BIER NORMAN,3.66, Assistant Teaching Professor of Computer Science  
23,BIGHAM JEFFREY,5.0,Error
24,BLACK ALAN,3.85625, Associate Teaching Professor of Computer Science  
25,BLUM LENORE,5.0, Assistant Teaching Professor  
26,BLUM MANUEL,5.0, Assistant Teaching Professor  
27,BOUCHER Sol,4.7, Teaching Professor  
28,BOURNE DAVID,4.67, Associate Teaching Professor of Computer Science  
29,BREAUX TRAVIS,4.4, Associate Professor  
30,BROOKES STEPHEN,3.585," Professor, Computer Science and Robotics  "
31,BROWN RALF,3.83, Professor  
32,BRYANT RANDAL,3.9050000000000002, Associate Professor  
33,CALLAN JAMIE,4.963333333333334," Associate Dean, Research and Area Head, Computer Science/Teaching Professor  "
34,CARLEY KATHLEEN,3.85, Assistant Teaching Professor  
35,CERVESATO ILIANO,3.51, Associate Professor  
36,CHOSET HOWARD,4.09, Assistant Professor-ECE  
37,CHRISTEL MICHAEL,5.0, Associate Teaching Professor of Computer Science  
38,CHRISTIN NICOLAS,4.835, Associate Professor  
39,CIROLI JENNIFER,2.87, Professor  
40,COMLEY RUTH,4.3325, Professor  
41,COMPEAU PHILLIP,4.53, Teaching Professor  
42,CORBETT THOMAS,4.405, Director Women@Scs And Scs4All  
43,CORTINA THOMAS,4.94, Assistant Professor  
44,COURT MATTHEW,4.625, Systems Scientist  
45,CRANE KEENAN,4.9, Professor  
46,CRANOR LORRIE,4.833333333333333, Teaching Professor  
47,CRARY KARL,4.43, Professor; Director of CS Masters Program  
48,CULYBA DAVID,4.59, Professor  
49,DANNENBERG ROGER,3.8200000000000003, Professor Of Art  
50,DAVIDSON ANDREW,3.75, Assistant Teaching Professor  
51,DESSLER JOHN,4.35, Professor  
52,DI CARO GIANNI,2.85," Assistant Teaching Professor of Entrepreneurship, Tepper School of Business  "
53,DOLAN JOHN,4.24, Assistant Teaching Professor of Computer Science  
54,DUBRAWSKI ARTUR,3.92, Professor  
55,DUESING JAMES,3.0, Professor  
56,ECKHARDT DAVID,4.75,Error
57,ECKSTROM JULIEN,4.345000000000001, University Professor  
58,EIBEN BRAD,3.47, Assistant Professor  
59,EPPINGER JEFFREY,4.670000000000001, Carnegie Group Professor of Computer Science  
60,ERDMANN MICHAEL,4.45,Error
61,FANG FEI,4.54, Mark Stehlik Post Doctoral Teaching Fellow  
62,FOLAN JOHN,3.6, Professor Of Computer Science and Electrical and Computer Engineering  
63,FORLIZZI JODI,3.335, Assistant Professor  
64,FRAGKIADAKI AIKATERINI,3.5,Error
